YEAR,MONTH,DAY,RRG20
1962,11,5,0.15
1962,11,8,0.43
1962,11,9,1.23
1962,11,10,0.04
1962,11,17,1.04
1962,11,18,0.65
1962,11,20,0.11
1962,11,21,1.18
1962,11,22,0.06
1962,11,25,0.07
1962,11,30,0.02
1962,12,3,0.13
1962,12,4,0.23
1962,12,5,0.28
1962,12,21,0.76
1962,12,22,0.02
1962,12,24,0.3
1962,12,25,1.59
1962,12,29,1.2
1963,1,10,0.12
1963,1,11,1.49
1963,1,12,0.03
1963,1,13,0.11
1963,1,18,0.39
1963,1,19,1.54
1963,1,20,0.15
1963,1,23,0.43
1963,1,26,0.31
1963,1,27,0.12
1963,1,30,0.67
1963,2,1,0.06
1963,2,2,1.22
1963,2,3,0.13
1963,2,4,0.09
1963,2,11,0.5
1963,2,12,0.55
1963,2,18,0.04
1963,2,19,0.64
1963,2,24,0.03
1963,3,1,1.06
1963,3,5,3.04
1963,3,6,0.25
1963,3,11,1.01
1963,3,12,3.03
1963,3,16,0.05
1963,3,17,0.75
1963,3,19,0.88
1963,3,20,1.27
1963,3,26,0.46
1963,4,6,0.35
1963,4,7,0.5
1963,4,20,0.08
1963,4,28,1.52
1963,4,29,2.74
1963,4,30,1.41
1963,5,11,0.07
1963,5,13,0.59
1963,5,17,0.56
1963,5,22,0.08
1963,5,25,0.13
1963,5,26,0.36
1963,5,27,0.77
1963,5,28,0.81
1963,5,29,0.14
1963,6,6,0.23
1963,6,14,0.32
1963,6,16,0.68
1963,6,17,0.75
1963,6,18,0.34
1963,6,20,1.27
1963,6,21,0.08
1963,6,23,0.19
1963,6,26,0.82
1963,6,27,1.38
1963,6,28,0.59
1963,6,29,0.29
1963,6,30,0.08
1963,7,6,0.7
1963,7,7,1.12
1963,7,8,0.06
1963,7,13,0.09
1963,7,14,0.65
1963,7,16,0.41
1963,7,17,0.05
1963,7,18,0.05
1963,7,19,0.22
1963,7,20,1.34
1963,7,22,0.18
1963,7,23,0.15
1963,7,25,1.39
1963,7,27,0.35
1963,7,29,0.13
1963,7,30,0.35
1963,8,6,0.06
1963,8,10,0.37
1963,8,13,0.68
1963,8,21,0.1
1963,8,25,0.11
1963,8,26,0.22
1963,8,29,1.22
1963,9,4,0.15
1963,9,12,0.05
1963,9,14,0.25
1963,9,28,3.89
1963,10,13,0.05
1963,11,1,0.42
1963,11,5,1.23
1963,11,21,0.04
1963,11,22,0.01
1963,11,23,1.09
1963,11,25,0.03
1963,11,26,0.6
1963,11,28,1.15
1963,11,29,1.9
1963,11,30,0.05
1963,12,2,0.25
1963,12,8,0.29
1963,12,11,1.75
1963,12,12,0.08
1963,12,13,0.26
1963,12,14,0.15
1963,12,22,0.16
1963,12,23,0.98
1963,12,31,1.72
1964,1,1,0.52
1964,1,6,0.82
1964,1,7,0.01
1964,1,8,0.79
1964,1,9,0.97
1964,1,11,0.12
1964,1,12,0.68
1964,1,13,0.04
1964,1,20,0.79
1964,1,24,3.47
1964,1,25,0.18
1964,1,31,0.52
1964,2,1,0.01
1964,2,5,1.52
1964,2,6,0.13
1964,2,10,0.37
1964,2,13,1.01
1964,2,14,0.01
1964,2,15,1.15
1964,2,18,1.04
1964,2,19,0.06
1964,2,25,0.55
1964,2,27,0.03
1964,2,28,0.43
