Location,Instr_ID,Date_,Avg_FlowRa,DailyFlow_
WS77,Weir77,1/1/2003,NULL,NULL
WS77,Weir77,1/2/2003,NULL,NULL
WS77,Weir77,1/3/2003,NULL,NULL
WS77,Weir77,1/4/2003,NULL,NULL
WS77,Weir77,1/5/2003,NULL,NULL
WS77,Weir77,1/6/2003,NULL,NULL
WS77,Weir77,1/7/2003,NULL,NULL
WS77,Weir77,1/8/2003,NULL,NULL
WS77,Weir77,1/9/2003,NULL,NULL
WS77,Weir77,1/10/2003,NULL,NULL
WS77,Weir77,1/11/2003,NULL,NULL
WS77,Weir77,1/12/2003,NULL,NULL
WS77,Weir77,1/13/2003,NULL,NULL
WS77,Weir77,1/14/2003,NULL,NULL
WS77,Weir77,1/15/2003,NULL,NULL
WS77,Weir77,1/16/2003,NULL,NULL
WS77,Weir77,1/17/2003,NULL,NULL
WS77,Weir77,1/18/2003,NULL,NULL
WS77,Weir77,1/19/2003,NULL,NULL
WS77,Weir77,1/20/2003,NULL,NULL
WS77,Weir77,1/21/2003,NULL,NULL
WS77,Weir77,1/22/2003,NULL,NULL
WS77,Weir77,1/23/2003,NULL,NULL
WS77,Weir77,1/24/2003,NULL,NULL
WS77,Weir77,1/25/2003,NULL,NULL
WS77,Weir77,1/26/2003,NULL,NULL
WS77,Weir77,1/27/2003,NULL,NULL
WS77,Weir77,1/28/2003,NULL,NULL
WS77,Weir77,1/29/2003,NULL,NULL
WS77,Weir77,1/30/2003,NULL,NULL
WS77,Weir77,1/31/2003,NULL,NULL
WS77,Weir77,2/1/2003,NULL,NULL
WS77,Weir77,2/2/2003,NULL,NULL
WS77,Weir77,2/3/2003,NULL,NULL
WS77,Weir77,2/4/2003,NULL,NULL
WS77,Weir77,2/5/2003,NULL,NULL
WS77,Weir77,2/6/2003,NULL,NULL
WS77,Weir77,2/7/2003,NULL,NULL
WS77,Weir77,2/8/2003,NULL,NULL
WS77,Weir77,2/9/2003,NULL,NULL
WS77,Weir77,2/10/2003,NULL,NULL
WS77,Weir77,2/11/2003,NULL,NULL
WS77,Weir77,2/12/2003,NULL,NULL
WS77,Weir77,2/13/2003,NULL,NULL
WS77,Weir77,2/14/2003,NULL,NULL
WS77,Weir77,2/15/2003,NULL,NULL
WS77,Weir77,2/16/2003,NULL,NULL
WS77,Weir77,2/17/2003,NULL,NULL
WS77,Weir77,2/18/2003,NULL,NULL
WS77,Weir77,2/19/2003,NULL,NULL
WS77,Weir77,2/20/2003,NULL,NULL
WS77,Weir77,2/21/2003,5.346,461.935
WS77,Weir77,2/22/2003,7.112,614.462
WS77,Weir77,2/23/2003,NULL,NULL
WS77,Weir77,2/24/2003,NULL,NULL
WS77,Weir77,2/25/2003,16.524,1427.699
WS77,Weir77,2/26/2003,11.398,984.827
WS77,Weir77,2/27/2003,20.192,1744.613
WS77,Weir77,2/28/2003,39.379,3402.341
WS77,Weir77,3/1/2003,40.955,3538.513
WS77,Weir77,3/2/2003,151.217,13065.129
WS77,Weir77,3/3/2003,104.359,9016.638
WS77,Weir77,3/4/2003,62.303,5382.945
WS77,Weir77,3/5/2003,42.678,3687.342
WS77,Weir77,3/6/2003,32.802,2834.101
WS77,Weir77,3/7/2003,82.193,7101.486
WS77,Weir77,3/8/2003,99.389,8587.214
WS77,Weir77,3/9/2003,62.796,5425.595
WS77,Weir77,3/10/2003,40.37,3488.011
WS77,Weir77,3/11/2003,25.652,2216.345
WS77,Weir77,3/12/2003,16.599,1434.17
WS77,Weir77,3/13/2003,15.216,1314.697
WS77,Weir77,3/14/2003,24.467,2113.931
WS77,Weir77,3/15/2003,39.219,3388.485
WS77,Weir77,3/16/2003,49.58,4283.75
WS77,Weir77,3/17/2003,49.032,4236.36
WS77,Weir77,3/18/2003,92.424,7985.4
WS77,Weir77,3/19/2003,62.837,5429.147
WS77,Weir77,3/20/2003,NULL,NULL
WS77,Weir77,3/21/2003,459.142,39669.845
WS77,Weir77,3/22/2003,129.226,11165.116
WS77,Weir77,3/23/2003,61.874,5345.945
WS77,Weir77,3/24/2003,37.949,3278.771
WS77,Weir77,3/25/2003,22.115,1910.696
WS77,Weir77,3/26/2003,13.385,1156.47
WS77,Weir77,3/27/2003,8.724,753.721
WS77,Weir77,3/28/2003,6.171,533.192
WS77,Weir77,3/29/2003,4.426,382.431
WS77,Weir77,3/30/2003,3.499,302.306
WS77,Weir77,3/31/2003,3.99,344.703
WS77,Weir77,4/1/2003,3.197,276.223
WS77,Weir77,4/2/2003,2.216,191.484
WS77,Weir77,4/3/2003,1.542,133.267
